african,120420,2,,1,,1,,120421,2,,1,,1,,120423,2,,1,,1,,120424,2,,1,,1,,120426,2,,1,,1,,120428,2,,1,,1,,120429,2,,1,,1,
age,120420,7,,7,,,,120421,7,,7,,,,120422,7,,7,,,,120423,6,,6,,,,120424,7,,7,,,,120425,7,,7,,,,120426,7,,7,,,,120427,7,,7,,,,120428,7,,7,,,,120429,7,,7,,,
american,120420,6,,2,1,3,,120421,6,,2,1,3,,120422,2,,,1,1,,120423,6,,2,1,3,,120424,6,,2,1,3,,120425,2,,,1,1,,120426,6,,2,1,3,,120427,4,,1,1,2,,120428,4,,1,1,2,,120429,4,,1,1,2,
area,120420,1,,1,,,,120421,1,,1,,,,120422,1,,1,,,,120423,1,,1,,,,120424,1,,1,,,,120425,1,,1,,,,120426,1,,1,,,,120427,1,,1,,,,120428,1,,1,,,,120429,1,,1,,,
asian,120420,1,,,,1,,120421,1,,,,1,,120424,1,,,,1,,120426,1,,,,1,,120429,1,,,,1,
average,120420,2,,2,,,,120421,2,,2,,,,120422,3,,3,,,,120423,2,,2,,,,120424,2,,2,,,,120425,2,,2,,,,120426,2,,2,,,,120427,2,,2,,,,120428,2,,2,,,,120429,2,,2,,,
bureau,120420,2,,1,,1,,120421,2,,1,,1,,120422,2,,1,,1,,120423,2,,1,,1,,120424,2,,1,,1,,120425,2,,1,,1,,120426,2,,1,,1,,120427,2,,1,,1,,120428,2,,1,,1,,120429,2,,1,,1,
capita,120420,2,,1,,1,,120421,2,,1,,1,,120422,2,,1,,1,,120423,2,,1,,1,,120424,2,,1,,1,,120425,2,,1,,1,,120426,2,,1,,1,,120427,2,,1,,1,,120428,2,,1,,1,,120429,2,,1,,1,
cdt,120420,1,,,1,,,120421,1,,,1,,,120422,1,,,1,,,120423,1,,,1,,,120424,1,,,1,,,120425,1,,,1,,,120426,1,,,1,,,120427,1,,,1,,,120428,1,,,1,,,120429,1,,,1,,
census,120420,14,,2,1,11,,120421,13,,2,1,10,,120422,9,,4,1,4,,120423,14,,2,1,11,,120424,12,,2,1,9,,120425,10,,2,1,7,,120426,13,,2,1,10,,120427,11,,2,1,8,,120428,11,,2,1,8,,120429,12,,2,1,9,
central,120420,3,,,2,1,,120421,3,,,2,1,,120422,3,,,2,1,,120423,3,,,2,1,,120424,3,,,2,1,,120425,3,,,2,1,,120426,3,,,2,1,,120427,3,,,2,1,,120428,3,,,2,1,,120429,3,,,2,1,
civil,120427,1,,,,1,
code,120420,1,,,1,,,120421,1,,,1,,,120422,1,,,1,,,120423,1,,,1,,,120424,1,,,1,,,120425,1,,,1,,,120426,1,,,1,,,120427,1,,,1,,,120428,1,,,1,,,120429,1,,,1,,
colfax,120420,2,1,,1,,
counties,120420,2,,,1,1,,120421,2,,,1,1,,120422,2,,,1,1,,120423,2,,,1,1,,120424,2,,,1,1,,120425,2,,,1,1,,120426,2,,,1,1,,120427,2,,,1,1,,120428,2,,,1,1,,120429,2,,,1,1,
countries,120420,2,,,1,1,,120421,2,,,1,1,,120422,2,,,1,1,,120423,2,,,1,1,,120424,2,,,1,1,,120425,2,,,1,1,,120426,2,,,1,1,,120427,2,,,1,1,,120428,2,,,1,1,,120429,2,,,1,1,
country,120420,1,,,1,,,120421,1,,,1,,,120422,1,,,1,,,120423,1,,,1,,,120424,1,,,1,,,120425,1,,,1,,,120426,1,,,1,,,120427,1,,,1,,,120428,1,,,1,,,120429,1,,,1,,
county,120420,7,1,1,2,2,1,120421,7,1,1,2,2,1,120422,7,1,1,2,2,1,120423,7,1,1,2,2,1,120424,7,1,1,2,2,1,120425,7,1,1,2,2,1,120426,7,1,1,2,2,1,120427,7,1,1,2,2,1,120428,7,1,1,2,2,1,120429,7,1,1,2,2,1
couples,120420,1,,1,,,,120421,1,,1,,,,120422,1,,1,,,,120423,1,,1,,,,120424,1,,1,,,,120425,1,,1,,,,120426,1,,1,,,,120427,1,,1,,,,120428,1,,1,,,,120429,1,,1,,,
cst,120420,1,,,1,,,120421,1,,,1,,,120422,1,,,1,,,120423,1,,,1,,,120424,1,,,1,,,120425,1,,,1,,,120426,1,,,1,,,120427,1,,,1,,,120428,1,,,1,,,120429,1,,,1,,
density,120420,1,,,,1,,120421,1,,,,1,,120422,3,,2,,1,,120423,1,,,,1,,120424,1,,,,1,,120425,1,,,,1,,120426,1,,,,1,,120427,1,,,,1,,120428,1,,,,1,,120429,1,,,,1,
distribution,120422,1,,1,,,
divisions,120420,2,,,1,1,,120421,2,,,1,1,,120422,2,,,1,1,,120423,2,,,1,1,,120424,2,,,1,1,,120425,2,,,1,1,,120426,2,,,1,1,,120427,2,,,1,1,,120428,2,,,1,1,,120429,2,,,1,1,
dollar,120423,2,,1,,1,
dovre,120421,2,1,,1,,
east,120422,2,1,,1,,
edwards,120423,2,1,,1,,
eighteen,120422,1,,1,,,,120423,1,,1,,,
fahlun,120424,2,1,,1,,
families,120420,2,,2,,,,120421,2,,2,,,,120422,3,,3,,,,120423,2,,2,,,,120424,2,,2,,,,120425,2,,2,,,,120426,2,,2,,,,120427,2,,2,,,,120428,2,,2,,,,120429,2,,2,,,
family,120420,2,,2,,,,120421,2,,2,,,,120422,2,,2,,,,120423,2,,2,,,,120424,2,,2,,,,120425,2,,2,,,,120426,2,,2,,,,120427,2,,2,,,,120428,2,,2,,,,120429,2,,2,,,
feature,120420,1,,,1,,,120421,1,,,1,,,120422,1,,,1,,,120423,1,,,1,,,120424,1,,,1,,,120425,1,,,1,,,120426,1,,,1,,,120427,1,,,1,,,120428,1,,,1,,,120429,1,,,1,,
federal,120420,2,,,1,1,,120421,2,,,1,1,,120422,2,,,1,1,,120423,2,,,1,1,,120424,2,,,1,1,,120425,2,,,1,1,,120426,2,,,1,1,,120427,2,,,1,1,,120428,2,,,1,1,,120429,2,,,1,1,
female,120420,1,,1,,,,120421,1,,1,,,,120422,1,,1,,,,120423,1,,1,,,,120424,1,,1,,,,120425,1,,1,,,,120426,1,,1,,,,120427,1,,1,,,,120429,1,,1,,,
females,120420,3,,3,,,,120421,3,,3,,,,120422,3,,3,,,,120423,3,,3,,,,120424,3,,3,,,,120425,3,,3,,,,120426,3,,3,,,,120427,3,,3,,,,120428,3,,3,,,,120429,3,,3,,,
fips,120420,1,,,1,,,120421,1,,,1,,,120422,1,,,1,,,120423,1,,,1,,,120424,1,,,1,,,120425,1,,,1,,,120426,1,,,1,,,120427,1,,,1,,,120428,1,,,1,,,120429,1,,,1,,
gennessee,120425,2,1,,1,,
